发送者UID,时间戳,消息类型,内容(文本或图片路径),原始JSON
346344298,1771489132,1,"{""content"":""神了""}","{""sender_uid"": 346344298, ""receiver_type"": 1, ""receiver_id"": 629882042, ""msg_type"": 1, ""content"": ""{\""content\"":\""神了\""}"", ""msg_seqno"": 2278230707716097, ""timestamp"": 1771489132, ""at_uids"": [0], ""msg_key"": 7608487888066327651, ""msg_status"": 0, ""notify_code"": """", ""msg_source"": 1}"
346344298,1771489131,1,"{""content"":""实际上80%以上的估计全是流萤厨""}","{""sender_uid"": 346344298, ""receiver_type"": 1, ""receiver_id"": 629882042, ""msg_type"": 1, ""content"": ""{\""content\"":\""实际上80%以上的估计全是流萤厨\""}"", ""msg_seqno"": 2278230690762752, ""timestamp"": 1771489131, ""at_uids"": [0], ""msg_key"": 7608487883174186972, ""msg_status"": 0, ""notify_code"": """", ""msg_source"": 1}"
629882042,1771489129,1,"{""content"":""傻子""}","{""sender_uid"": 629882042, ""receiver_type"": 1, ""receiver_id"": 346344298, ""msg_type"": 1, ""content"": ""{\""content\"":\""傻子\""}"", ""msg_seqno"": 2278230656716801, ""timestamp"": 1771489129, ""at_uids"": [0], ""msg_key"": 7608487875133849407, ""msg_status"": 0, ""notify_code"": """", ""msg_source"": 2}"
346344298,1771489115,1,"{""content"":""就是那个群""}","{""sender_uid"": 346344298, ""receiver_type"": 1, ""receiver_id"": 629882042, ""msg_type"": 1, ""content"": ""{\""content\"":\""就是那个群\""}"", ""msg_seqno"": 2278230422429696, ""timestamp"": 1771489115, ""at_uids"": [0], ""msg_key"": 7608487814506310473, ""msg_status"": 0, ""notify_code"": """", ""msg_source"": 1}"
346344298,1771489111,1,"{""content"":""我们群不是有个人说被踢了""}","{""sender_uid"": 346344298, ""receiver_type"": 1, ""receiver_id"": 629882042, ""msg_type"": 1, ""content"": ""{\""content\"":\""我们群不是有个人说被踢了\""}"", ""msg_seqno"": 2278230355046402, ""timestamp"": 1771489111, ""at_uids"": [0], ""msg_key"": 7608487797454723613, ""msg_status"": 0, ""notify_code"": """", ""msg_source"": 1}"
629882042,1771489096,1,"{""content"":""[tv_斜眼笑][tv_斜眼笑][tv_斜眼笑]""}","{""sender_uid"": 629882042, ""receiver_type"": 1, ""receiver_id"": 346344298, ""msg_type"": 1, ""content"": ""{\""content\"":\""[tv_斜眼笑][tv_斜眼笑][tv_斜眼笑]\""}"", ""msg_seqno"": 2278230103855104, ""timestamp"": 1771489096, ""at_uids"": [0], ""msg_key"": 7608487733442204653, ""msg_status"": 0, ""notify_code"": """", ""msg_source"": 2}"
629882042,1771489091,1,"{""content"":""那还是最低级的""}","{""sender_uid"": 629882042, ""receiver_type"": 1, ""receiver_id"": 346344298, ""msg_type"": 1, ""content"": ""{\""content\"":\""那还是最低级的\""}"", ""msg_seqno"": 2278230019821568, ""timestamp"": 1771489091, ""at_uids"": [0], ""msg_key"": 7608487711933924970, ""msg_status"": 0, ""notify_code"": """", ""msg_source"": 2}"
346344298,1771489072,1,"{""content"":""给我打开新世界了""}","{""sender_uid"": 346344298, ""receiver_type"": 1, ""receiver_id"": 629882042, ""msg_type"": 1, ""content"": ""{\""content\"":\""给我打开新世界了\""}"", ""msg_seqno"": 2278229701214208, ""timestamp"": 1771489072, ""at_uids"": [0], ""msg_key"": 7608487629972295632, ""msg_status"": 0, ""notify_code"": """", ""msg_source"": 1}"
346344298,1771489066,1,"{""content"":""还团建私信骂人""}","{""sender_uid"": 346344298, ""receiver_type"": 1, ""receiver_id"": 629882042, ""msg_type"": 1, ""content"": ""{\""content\"":\""还团建私信骂人\""}"", ""msg_seqno"": 2278229599715328, ""timestamp"": 1771489066, ""at_uids"": [0], ""msg_key"": 7608487603756786046, ""msg_status"": 0, ""notify_code"": """", ""msg_source"": 1}"
346344298,1771489056,1,"{""content"":""天天给知更鸟波提欧取角色黑称""}","{""sender_uid"": 346344298, ""receiver_type"": 1, ""receiver_id"": 629882042, ""msg_type"": 1, ""content"": ""{\""content\"":\""天天给知更鸟波提欧取角色黑称\""}"", ""msg_seqno"": 2278229431914496, ""timestamp"": 1771489056, ""at_uids"": [0], ""msg_key"": 7608487561037567191, ""msg_status"": 0, ""notify_code"": """", ""msg_source"": 1}"
346344298,1771489027,1,"{""content"":""我不敢退""}","{""sender_uid"": 346344298, ""receiver_type"": 1, ""receiver_id"": 629882042, ""msg_type"": 1, ""content"": ""{\""content\"":\""我不敢退\""}"", ""msg_seqno"": 2278228945977344, ""timestamp"": 1771489027, ""at_uids"": [0], ""msg_key"": 7608487436467885958, ""msg_status"": 0, ""notify_code"": """", ""msg_source"": 1}"
346344298,1771489024,1,"{""content"":""那个是真粪坑""}","{""sender_uid"": 346344298, ""receiver_type"": 1, ""receiver_id"": 629882042, ""msg_type"": 1, ""content"": ""{\""content\"":\""那个是真粪坑\""}"", ""msg_seqno"": 2278228895809536, ""timestamp"": 1771489024, ""at_uids"": [0], ""msg_key"": 7608487423336088847, ""msg_status"": 0, ""notify_code"": """", ""msg_source"": 1}"
346344298,1771489017,1,"{""content"":""那个群主给我拉去贴吧群了""}","{""sender_uid"": 346344298, ""receiver_type"": 1, ""receiver_id"": 629882042, ""msg_type"": 1, ""content"": ""{\""content\"":\""那个群主给我拉去贴吧群了\""}"", ""msg_seqno"": 2278228778426370, ""timestamp"": 1771489017, ""at_uids"": [0], ""msg_key"": 7608487393997023485, ""msg_status"": 0, ""notify_code"": """", ""msg_source"": 1}"
346344298,1771488994,1,"{""content"":""我骂也只会骂编剧""}","{""sender_uid"": 346344298, ""receiver_type"": 1, ""receiver_id"": 629882042, ""msg_type"": 1, ""content"": ""{\""content\"":\""我骂也只会骂编剧\""}"", ""msg_seqno"": 2278228392484865, ""timestamp"": 1771488994, ""at_uids"": [0], ""msg_key"": 7608487295261902516, ""msg_status"": 0, ""notify_code"": """", ""msg_source"": 1}"
346344298,1771488983,1,"{""content"":""说实话我还算个黑化mmr""}","{""sender_uid"": 346344298, ""receiver_type"": 1, ""receiver_id"": 629882042, ""msg_type"": 1, ""content"": ""{\""content\"":\""说实话我还算个黑化mmr\""}"", ""msg_seqno"": 2278228207788032, ""timestamp"": 1771488983, ""at_uids"": [0], ""msg_key"": 7608487247682128056, ""msg_status"": 0, ""notify_code"": """", ""msg_source"": 1}"
629882042,1771489331,1,"{""content"":""我这号还是四年级托人注册的""}","{""sender_uid"": 629882042, ""receiver_type"": 1, ""receiver_id"": 346344298, ""msg_type"": 1, ""content"": ""{\""content\"":\""我这号还是四年级托人注册的\""}"", ""msg_seqno"": 2278234046275584, ""timestamp"": 1771489331, ""at_uids"": [0], ""msg_key"": 7608488742312187142, ""msg_status"": 0, ""notify_code"": """", ""msg_source"": 2}"
